type_aliment,alim_nom_fr,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fibres alimentaires (g/100 g),Cholestérol (mg/100 g),Calcium (mg/100 g),Fer (mg/100 g),Magnésium (mg/100 g),Potassium (mg/100 g),Zinc (mg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine C (mg/100 g)
dairy,"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D",-,-,"78,9","3,51",14,"2,35","12,7","0,1","11,6",129,"0,04",12,160,"0,44","0,93","0,21","< 0,5"
other,"Chili con carne, préemballé",494,118,"74,2","7,13",13,"3,35","2,58","3,56","14,6","32,8","1,6","27,3",282,"1,2","< 0,5","0,88","2,25"
other,"Pétoncle ou Peigne du Pérou, noix, crue",376,"88,7",-,"17,5","3,1","0,7",0,0,-,-,-,-,-,-,-,-,-
vegetable,"Aubergine, crue",-,-,"92,9","1,12","2,39","0,14","2,39","2,7",0,"8,7","0,32",12,235,"0,16",0,"0,17","2,1"
other,"Farce porc et boeuf, crue",1280,309,"53,8","11,8","4,4","26,5",-,"2,6",-,-,-,-,-,-,-,-,-
other,"Tarte normande aux pommes (garniture farine, oeufs, crème, sucre, calvados)",1310,313,"38,6","4,44","38,7",15,"25,8","2,5","71,4",39,"0,57",16,180,"0,39","< 0,25","1,6","7,05"
other,"Quiche lorraine, préemballée",1140,274,"53,2","8,96",21,"16,8","2,67","1,29","95,4",116,"0,63","17,8",164,"0,8","1,21","1,55","0,71"
other,"Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit",892,213,55,"7,44","23,7","9,2","2,4","2,7","27,7",47,"1,1",25,180,"0,83","< 0,25","1,99","< 0,5"
other,"Foie de morue, appertisé, égoutté",1790,433,"45,7","7,25","1,1","44,4",-,0,186,10,"2,1","10,3",130,2,"54,3","4,96",4
dairy,"Beurre ou assimilé à teneur en matière grasse inconnue, doux (aliment moyen)",3050,741,"16,7","0,69","0,99","81,5","0,84","0,017",214,"17,8","0,032","2,05","28,2","0,088","1,1","2,09","0,0098"
other,"Poivre blanc, poudre",1300,310,"11,4","11,4","48,3","2,11",-,"26,2",0,265,"14,3",90,73,"1,13",0,-,21
other,"Papaye, pulpe, crue",178,"42,2","88,8","0,75","8,53","< 0,3","8,1","1,8",0,22,"0,16",18,200,"< 0,05",0,"< 0,08","65,3"
other,"Barre à la noix de coco, enrobée de chocolat",1990,475,"7,83","3,88","60,2","23,8",53,3,"5,5","78,8","1,8","46,8",331,"0,8","< 0,5","0,18","< 0,5"
other,"Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique",-,-,"93,2",-,-,-,-,1,-,-,-,-,-,-,-,-,"0,23"
meat,"Boeuf, rumsteck, cru",482,114,"70,9","22,5","0,4","2,5",0,0,63,"7,33","2,48","16,5",326,"3,54","0,5","0,29",0
fruit,"Pomme de terre nouvelle, crue",324,"76,4","79,9","1,88","15,9","0,3","0,2","1,3",0,10,"0,6",-,367,"0,5",0,"0,06",22
vegetable,"Tomate côtelée ou coeur de boeuf, crue","83,4","19,8","94,4","0,5","3,23","< 0,5","2,8","0,9",-,"7,2","0,14","6,9",210,"0,09",-,"0,36","11,7"
fruit,"Poire Williams, pulpe, crue",228,"54,1","84,7","< 0,5","11,5","< 0,5","9,4","3,1",-,"6,1","0,07","5,3",120,"0,09",-,"< 0,08","2,57"
other,"Oignon rouge, sauté/poêlé sans matière grasse",179,"42,4","87,9","1,69","7,55","< 0,3","6,7","2,1",-,26,"0,26",10,220,"0,26",-,"< 0,08","5,68"
condiment,"Sauce tomate à la viande ou Sauce bolognaise, préemballée",-,-,"82,4","4,22","7,27","4,81","4,74","2,29","13,7","22,9","0,87","29,9",426,"0,82","< 0,5","1,88","7,55"
other,"Cornichon, aigre-doux",152,36,"91,5","1,25",5,"0,35",4,"1,5",-,-,-,-,-,-,-,-,-
other,Saucisson sec aux noix et/ou noisettes,1980,477,-,"27,7","1,78","39,7","1,04","0,75",-,-,-,-,-,-,-,-,-
condiment,"Pâte feuilletée, surgelée, crue",1670,400,"31,8","3,28","33,3","27,4","1,7","3,05",-,-,-,-,-,-,-,-,-
other,"Eau minérale Biovive, embouteillée, non gazeuse, faiblement minéralisée (Dax, 40)",0,0,100,0,0,0,0,0,-,"4,2",-,"0,38","0,24",-,-,-,-
